review_number,brand,variety,style,country,stars
2827,Myojo,Ippei-chan Yomise-no-Yakisoba Aurora Sauce Flavor,Tray,Japan,2.75
2826,Acecook,Chicken Dashi Udon,Cup,Japan,4.5
2825,Yum Yum,Instant Noodles Tom Yum Kung Flavor,Pack,Thailand,5
2824,Nissin,Cup Noodle Chili Chili Chili Tomato,Cup,Japan,4
2823,Wei Lih,Hell Spicy Dry Noodle With Soup,Pack,Taiwan,4.25
2822,Nagatanien,Chanko Shio Ramen,Box,Japan,5
2821,Sichuan Baijia,Broad Noodle Sour Soup Fish Flavor,Pack,China,4.5
2820,Maruchan,QTTA Tonkotsu,Cup,Japan,3.5
2819,World O Noodle,Asam Laksa Flavour Instant Noodles,Pack,Malaysia,3.75
2818,Nissin,Donbei Green Curry Udon,Cup,Japan,4.75
2817,Liangchengmei,30 Second Hot Bird Noodle,Box,China,3.75
2816,Nissin,Top Ramen Hot Spicy Beef Ramen Noodle Soup,Pack,United States,3
2815,Sapporo Ichiban,Pokemon Shoyu Ramen,Cup,Japan,3.5
2814,Little Couples Q Noodle,Taiwan Sauce Taste,Pack,Taiwan,4.5
2813,Little Couples Q Noodle,Oyster Sauce Taste,Pack,Taiwan,3.5
2812,Little Couples Q Noodle,Fried Garlic Taste,Pack,Taiwan,5
2811,Little Couples Q Noodle,Taiwan Soybean Taste,Pack,Taiwan,2.75
2810,Little Couples Q Noodle,Spicy Taste,Pack,Taiwan,3.75
2809,Acecook,Shrimp Tempura Soba,Cup,Japan,0.5
2808,Super,Super Cup Signature White Curry,Cup,Malaysia,0.25
2807,Maruchan,Gotsumori Shio Wonton Ramen,Bowl,Japan,5
2806,Nissin,Cup Noodles Light Seafood Flavour,Cup,Hong Kong,5
2805,Maruchan,Umaitsuyu Tempura Soba,Cup,Japan,3.75
2804,Acecook,Chinese Style Yakisoba,Tray,Japan,3.5
2803,World O Noodle,Curry Flavour Instant Noodle,Pack,Malaysia,4.25
2802,Nissin,Cup Noodles Black Pepper Crab Flavour Potato Chips,Pack,Hong Kong,5
2801,Myojo,Ippei-chan Yomise-no Yakisoba Barbeque Sauce Flavor With Mayonnaise,Tray,Japan,5
2800,Vedan,Original Beef Flavor Noodle,Pack,Taiwan,4.5
2799,Maruchan,Kitsune Soba,Bowl,Japan,0.25
2798,Indomie,Instant Noodles Mi Goreng Fried Noodles (Taiwan Only Version),Pack,Indonesia,5
2797,Nissin,Chikin Ramen Shoyu Flavor,Pack,Japan,5
2796,Mike's Mighty Good Craft Ramen,Beef Pho Flavor Rice Noodle Soup,Pack,United States,5
2795,Mike's Mighty Good Craft Ramen,Pork Tonkotsu Flavor Ramen Soup,Cup,United States,1.5
2794,Mike's Mighty Good Craft Ramen,Vegetarian Kimchi Flavor Ramen Soup,Pack,United States,4
2793,Mike's Mighty Good Craft Ramen,Chicken Flavor Ramen Soup,Cup,United States,3.75
2792,Mike's Mighty Good Craft Ramen,Spicy Pork Tonkotsu Flavor Ramen Soup,Pack,United States,3.75
2791,Mike's Mighty Good Craft Ramen,Vegetarian Vegetable Ramen Soup,Pack,United States,5
2790,Mike's Mighty Good Craft Ramen,Savory Miso Flavor Ramen Soup,Pack,United States,4.25
2789,Mike's Mighty Good Craft Ramen,Spicy Beef Flavor Ramen Soup,Cup,United States,4
2788,Mike's Mighty Good Craft Ramen,Fried Garlic Chicken Flavor Ramen Soup,Pack,United States,4.5
2787,Samyang Foods,Mala Buldak Bokkeummyun,Bowl,South Korea,3.5
2786,Acecook,Supercup Big Pork Kimchi Oil Yakisoba,Tray,Japan,3
2785,Yum Yum,Authentic Thai Style Instant Noodles Green Curry Flavour,Pack,Thailand,5
2784,Samyang Foods,Jajang Buldak Bokkeummyun,Pack,South Korea,4
2783,Samyang Foods,Buldak Bokkeummyun Squid,Pack,South Korea,3.75
2782,Mr. Noodle,Black Vinegar With Spicy Taste,Pack,Taiwan,2
2781,Mr. Noodle,Onions Mushroom Spice Taste Noodle,Pack,Taiwan,4.5
2780,Mr. Noodle,Pesto Sesame Noodles,Pack,Taiwan,2
2779,Mr. Noodle,Barbecue Sauce Curry,Pack,Taiwan,5
2778,Mr. Noodle,Spicy Sesame Paste Noodles,Pack,Taiwan,3.25
2777,Mr. Noodle,Sichuan Flavor Spicy Hot Noodles,Pack,Taiwan,3.5
2776,Maruchan,Tonjiru Udon,Bowl,Japan,4.75
2775,Vifon,Garlic Flavour Instant Noodles,Pack,Poland,2
2774,Nissin,Cup Noodle Yuzu,Cup,Japan,3.5
2773,Vedan,Minced Pork Noodle,Pack,Taiwan,3.5
2772,Happy Noodle,Noodles With Minced Beef Sauce In Spicy Oil & Pickled Mustard Greens,Box,Taiwan,4
2771,Nissin,UFO Fried Ramen Japanese Sauce Flavour,Tray,Indonesia,5
2770,Sapporo Ichiban,Barbeque Yakisoba,Tray,Japan,4.5
2769,Ottogi,Kimchi Ramen,Pack,South Korea,3.5
2768,Wei Lih,Yi Du Zan Beef Instant Noodle,Bowl,Taiwan,3.75
2767,Nissin,Cup Noodles Spicy Seafood Flavour Potato Chips,Pack,Hong Kong,5
2766,LeeZen,Sesame Oil Angelica & Sinensis Instant Noodles,Pack,Taiwan,4.25
2765,Island Foods,Kichijoji Hopuken Hompo Backfat Tonkotsu,Box,Japan,5
2764,Vedan,Double Bang Thick Beef Broth Noodle,Bowl,Taiwan,3.75
2763,Ped Chef,Sesame Clear Soup Noodles,Pack,Malaysia,3.5
2762,Red Chef,Pandan White Curry Noodles,Pack,Malaysia,5
2761,Red Chef,Green Tom Yum Soup Noodles,Pack,Malaysia,5
2760,Red Chef,Spicy Sakura Prawn Soup Noodles,Pack,Malaysia,5
2759,Nissin,Cup Noodles Rasa Gulai Ayam Melayu,Cup,Japan,3.25
2758,Gookmul,Knight Of Ribs,Pack,South Korea,5
2757,MyKuali,Hokkien Prawn (2018 Recipe),Pack,Malaysia,5
2756,TTL,Carbonara White Wine Sauce Noodle,Pack,Taiwan,5
2755,Vedan,Wei Wei 'A' Seafood XO Sauce Noodle,Pack,Taiwan,3.5
2754,Acecook,Rich Miso Ramen,Bowl,Japan,3.75
2753,Maruchan,Tempura Udon,Cup,Japan,3.5
2752,Ve Wong,Instant Noodles Braised Beef Flavor,Pack,Taiwan,3.5
2751,Acecook,Pork Wantan Men,Pack,Japan,4
2750,Nissin,Cup Noodles Tom Yum Goong Flavour Potato Chips,Pack,Hong Kong,5
2749,Maruchan,Bariuma Goboten Udon,Bowl,Japan,0
2748,MyKuali,Penang Red Tom Yum Goong Noodle (2018 Recipe),Pack,Malaysia,5
2747,Nissin,Cup Noodles Kyushu White Flavour (Open Sesame),Cup,Singapore,3.5
2746,Ve Wong,Fried Noodles With Mexican Chili Flavor,Pack,Taiwan,4.25
2744,Nissin,U. F. O. BIG Wasabi-Mayo Yakisoba,Tray,Japan,5
2743,Myojo,Charumera Non-Fried Tonkotsu Ramen,Pack,Japan,5
2743,Nongshim,Nongshim Korean Clay Pot Ramyun,Bowl,China,3.5
2742,Sapporo Ichiban,Akita Kiritanpo Ramen,Cup,Japan,4.75
2741,MyKuali,Penang White Curry Noodle (2018 Recipe),Pack,Malaysia,5
2740,Meimen,Hot & Sour Noodles Soup,Pack,Taiwan,3.75
2739,Meimen,Noodles With Soy Bean Paste,Pack,Taiwan,3.25
2738,Meimen,Tomato Noodles Soup,Pack,Taiwan,5
2737,Wei Lih,Chicken Flavor,Pack,Taiwan,4
2736,Kaset,Instant Vermicelli Spicy Seafood Salad Flavour,Cup,Thailand,3.75
2735,Myojo,Chicken Abalone Flavour,Pack,Singapore,3.5
2734,Lipton,Soup Secrets Extra Noodle Soup Mix With Real Chicken Broth,Box,USA,3.25
2733,Jinbo Selection,SOul Spicy Noodles,Pack,Taiwan,3.25
2732,Nissin,Demae Ramen Korean Spicy Flavour Instant Noodles,Pack,Hong Kong,4
2731,Nissin,Donbei Wasabi Tempura Udon,Bowl,Japan,3.5
2730,Little Cook,Braised Beef Noodles With Tendon & Meat,Bowl,Taiwan,5
2729,Samyang Foods,Kimchi Song Song Ramen,Cup,South Korea,4
2728,Vifon,Hoang Gia Instant Noodles With Minced Pork,Pack,Vietnam,0.25
2727,Acecook,Phmori Ika Yakisoba,Tray,Japan,3.75
2726,Wei Lih,Chinese Special Spicy Pork Noodle,Bowl,Taiwan,4.25
2725,New Touch,Yokohama Sanma Men,Bowl,Japan,2.75
2724,Vedan,Double Bang Thick Pork Broth Noodle,Bowl,Taiwan,4
2723,No Brand,Delicious Ramen,Pack,South Korea,3.5
2722,Nissin,Premium Santouka From Hawaii Soy Sauce Ramen,Cup,Japan,3.5
2721,Yumei,Instant Spicy Hot Pot,Bowl,China,2.25
2720,Mr. Noodles,Pho Noodle Soup Simulated Beef Flavour,Bowl,Canada,0
2719,Yamamoto,Umakaro Negi Ramen,Bowl,Japan,4.25
2718,Banzai,"Instant Noodles ""Tom Yam Kung"" Shrimp Flavor",Cup,Vietnam,3.5
2717,Maruchan,Umaitsuyu Kitsune Udon,Cup,Japan,3.5
2716,JML,Yakisoba Sweet & Sour Pork Ribs Flavor,Tray,China,4
2715,Myojo,Hyobanya Shio Yakisoba,Tray,Japan,4.5
2714,KOKA,Singnature Chicken Flavor Instant Noodles,Pack,Singapore,3.5
2713,Kenko Foods,Michio Kawamura Kimchi Miso Ramen,Pack,Japan,1.5
2712,Maggi,2 Minute Noodles Masala Spicy (Export Version),Pack,India,5
2711,Acecook,Hakodate Shio Shrimp Ramen,Cup,Japan,1
2710,Itsuki,"Kyushu ""Tonkotsu"" Pork Flavor Ramen",Pack,Japan,5
2709,KOKA,Signature Black Pepper Fried Noodles,Pack,Singapore,4
2708,Qinsheng,Dumpling Pastry Hot & Sour Noodle,Pack,China,5
2707,My Friend,Big Tanuki Udon,Bowl,Japan,3.75
2706,Wei Lih,GGE Ramen Snack Tempura Flavor,Pack,Taiwan,5
2705,Ichiran Ramen,Curly Noodles Including Red Dry Sauce - Only In Fukuoka,Pack,Japan,4.5
2704,Maggi,Cuppa Chilly Chow,Cup,India,3.5
2703,Kenko Foods,Genmai (Brown Rice) Ramen,Pack,Japan,4.5
2702,Chuanbei,Sichuan Yibin Style Spicy Noodles,Tray,China,4
2701,KOKA,The Original Chicken Flavor Oriental Instant Noodles,Pack,Singapore,3.5
2700,Vedan,Jhen Mian Tang Spicy Hot Noodle,Pack,Taiwan,4
2699,Myojo,Chicken Shio Wanton Noodles,Bowl,Japan,4.5
2698,Nissin,Cup Noodles Chilli Crab Flavour (More Crabtastic),Cup,Singapore,4
2697,Maruchan,Bowl Taste Of Asia Hot & Spicy Kimchi Ramen Ramen Noodle Soup,Bowl,United States,3.25
2696,Nongshim,Neoguri Spicy Seafood Noodle Soup,Cup,United States,5
2695,Wei Lih,GGE Ramen Snack BBQ Cube,Pack,Taiwan,4
2694,Nissin,Cup Noodles Batchoy Flavor,Cup,Phlippines,3.5
2693,Qicaiyuan,Liangpi (Shaanxik cold noodle),Pack,China,4.25
2692,KOKA,Creamy Soup With Crusjhed Noodles Mushroom Flavor,Cup,Singapore,1
2691,Nissin,Demae Ramen Straight Noodle Shoyu Tonkotsu Instant Noodle,Pack,Hong Kong,5
2690,Village Vanguard,No Men,Pack,Japan,4.25
2689,Maruchan,Instant Lunch Udon Style Soy Sauce Flavor Ramen Noodle Soup,Cup,United States,4
2688,KOKA,Silk Laksa Singapura Instant Rice Fettucine,Bowl,Singapore,5
2687,Nissin,Yakisoba With Mayonnaise,Tray,Japan,5
2686,Sapporo Ichiban,Coriander & Chicken Noodle,Cup,Japan,4.25
2685,Nissin,Cup Noodles Veggi Manchow,Cup,India,3.5
2684,KOKA,Instant Noodles Mushroom Flavour,Pack,Singapore,2
2683,Nissin,Cup Noodles Champignons (Mushroom),Cup,Japan,3.5
2682,JML,Instant Noodle Artificial Spicy Hot Beef Flavor,Pack,China,3.75
2681,TableMark,Homerun-Ken Vegetable Tanmen,Bowl,Japan,3.75
2680,Samyang Foods,Carbo Type Buldak Bokkeummyun,Pack,South Korea,4.25
2679,MyKuali,Penang White Curry Noodle,Pack,Malaysia,5
2678,Maggi,Hot Heads Barbeque Pepper Noodles,Pack,India,0
2677,Nissin,Hokkaido Miso Japanese Ramen,Pack,Singapore,4
2676,Maruchan,Bowl Taste Of Asia Tom Yum Ramen Noodle Soup,Bowl,United States,5
2675,Myojo,Hyobanya Kakitama Udon,Bowl,Japan,4
2674,KOKA,Original Chicken Flavor,Pack,Singapore,3.5
2673,Nissin,Demae Ramen Bar Noodle Hokkaido Miso Tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5
2672,Wei Lih,Roast Beef Stew Noodle,Pack,Taiwan,5
2671,Acecook,Mochi Mochi Yakisoba,Cup,Japan,4.5
2670,Nongshim,Kimchi Ramyun,Bowl,China,3.75
2669,KOKA,Silk Instant Rice Fettucine Chicken Pho Flavor,Pack,Singapore,4
2668,Samyang Foods,Wasa-Mayo Ramen,Bowl,South Korea,3.25
2667,Nissin,Okinawa Soba,Bowl,Japan,3.5
2666,Hokkaido Ramen Santouka,Shio Tonkotsu Ramen,Restaurant,United States,4.75
2665,Alhami,Instant Noodle Instant Noodle Chicken Flavour,Pack,Indonesia,3.5
2664,Maitri,Instant Noodle Vegetarian Soup,Pack,Indonesia,3.25
2663,Alhami,Instant Noodle Soto Flavour,Pack,Indonesia,5
2662,Alhami,Instant Noodle Chicken Curry Flavour,Pack,Indonesia,3.75
2661,Maitri,Vegetarian Mie Goreng,Pack,Indonesia,5
2660,Alhami,Instant Noodle Chicken Curry Flavour,Pack,Indonesia,3.75
2659,Alhami,Instant Noodle Beef Flavour,Pack,Indonesia,3.5
2658,Mikka,Noodle Snack Barbecue Flavor,Pack,Indonesia,3.25
2657,Maitri,Extra Hot Vegetarian Mie Goreng,Pack,Indonesia,5
2656,Mikka,Noodle Snack Roast Corn Flavor,Pack,Indonesia,4.5
2655,Alhami,Prawn Instant Noodles,Pack,Indonesia,2.75
2654,Maitri,Vegetarian Hot Curry,Pack,Indonesia,4
2653,Mikka,Noodle Snack Sambal Balado Chilli Sauce Flavor,Pack,Indonesia,4
2652,Maitri,Vegetarian Rasa Soto,Pack,Indonesia,4.25
2651,Alhami,Mi Goreng Spesial,Pack,Indonesia,5
2650,Paldo,Flaming Hot Savoury Cheese Noodle,Pack,South Korea,4.25
2649,Myojo,Mee Poh Dry (New Recipe),Pack,Singapore,4.25
2648,Paldo,Bulnak Pan Stir-fried Noodle,Cup,South Korea,3.75
2647,Marutai,Nagasaki Chanpon,Bowl,Japan,4
2646,Ching's Secret,Schezwan Instant Noodles,Pack,India,3.5
2645,Happy Noodle,Noodles Wirh Minced Pork & Chinese Mustard Blend,Pack,Taiwan,5
2644,Ottogi,Budae Jjigae Ramen,Pack,South Korea,5
2643,KOKA,Creamy Soup With Crushed Noodles Vegetable Flavor,Cup,Singapore,4.5
2642,Myojo,Wakame Ramen,Bowl,Japan,3.5
2641,Nanoblock,Ramen Bokki,Pack,Japan,NA
2640,Myojo,Hyobanya Yakisona,Tray,Japan,3.75
2639,Maggi,Hot Heads Peri Peri Noodles,Pack,India,4
2638,Nissin,Demae Ramen Straight Noodle Miso Flavour Instant Noodle,Pack,Hong Kong,2
2637,Samyang Foods,Jjajang Big Bowl,Bowl,South Korea,4.5
2636,Acecook,Tonkotsu,Cup,Japan,1
2635,Maruchan,Magomi-an Curry Udon,Bowl,Japan,3.75
2634,Samyang Foods,Ramen Bokki,Cup,South Korea,4.5
2633,Myojo,Chukazanmai Premium Sour & Spicy Noodle Soup,Bowl,Japan,4.25
2632,Sau Tao,Laksa Flavour Ho Fan,Bowl,Hong Kong,3
2631,Isoyama Shoji,18 Prohibited,Pack,Japan,0
2630,Myojo,Udon Hot & Spicy Flavor,Bowl,United States,3.75
2629,Daikoku,Assari Miso Ramen,Bowl,Japan,2.75
2628,Wang,Asian Style Noodle Seafood Udon,Bowl,South Korea,2
2627,Nissin,Men Shokunin Sesame Miso Ramen,Bowl,Japan,5
2626,Nissin,Cup Noodles Mazedaar Masala,Cup,India,3.5
2625,Nissin,Cup Noodles Potato Chips Tom Yam Seafood Flavour,Pack,Singapore,5
2624,Sapporo Ichiban,Tokyo Asakusa Yakisoba,Tray,Japan,4.75
2623,Samyang Foods,Assorted Vegetable Ramen,Bowl,South Korea,3.75
2622,Acecook,Shoyu Wakame Noodles With Sesame,Bowl,Japan,3.75
2621,Maggi,Pazzta Cheese Macaroni,Pack,India,3.5
2620,Samyang Foods,Buldak Bokkeummyun Stew,Bowl,South Korea,3.75
2619,Liu Quan,Authentic Snail Rice Noodle,Bowl,China,3.25
2618,KOKA,Delight Curry Flavor Instant Non-Fried Noodles,Pack,Singapore,5
2617,Nissin,Cup Noodles Laksa Flavour,Cup,Singapore,5
2616,Gookmul,Special Edition Lobster,Pack,South Korea,3.5
2615,Nissin,Demae Ramen Straight Noodle Spicy Tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5
2614,Samyang Foods,Chacharoni,Bowl,South Korea,3.75
2613,Nissin,Raoh Backfat Rich Shoyu Ramen,Bowl,Japan,5
2612,Nona Lim,Laksa Rice Noodles + Thai Curry & Lime Broth,Pack,United States,NA
2611,Nona Lim,Tokyo Ramen + Miso Ramen Broth,Pack,United States,NA
2610,Nona Lim,Whole Wheat Ramen + Spicy Szechuan Broth,Pack,United States,NA
2609,Nona Lim,Pad Thai Rice Noodles + Vietnamese Pho Broth,Pack,United States,NA
2608,Nona Lim,Hakata Ramen + Thai Curry & Lime Broth,Pack,United States,NA
2607,Nona Lim,Hakata Ramen + Miso Ramen Broth,Pack,United States,NA
2606,Nona Lim,Pad See Ew Rice Noodleds + Spicy Szechuan Broth,Pack,United States,NA
2605,Nona Lim,Pad See Ew Rice Noodles + Vietnamese Pho Broth,Pack,United States,NA
2604,Tseng Noodle,Scallion With Sichuan Pepper Flavor (Wester Version),Pack,Taiwan,5
2603,Paldo,Pororo Jjajang Noodle,Cup,South Korea,2.5
2602,KOKA,Signature Pepper Crab Flavor Instant Noodles,Pack,Singapore,3.25
2601,Nongshim,Kamjatangmyun Potato Pork Flavour,Pack,China,4.75
2600,Nissin,Cup Noodle Nice Rich Pork Shoyu,Cup,Japan,5
2599,Maggi,Cuppa Masala,Cup,India,3.75
2598,Myojo,Western Style Kisune Udon,Bowl,Japan,4
2597,Nongshim,Neoguri Stir-fry Noodles Spicy Seafood,Pack,South Korea,5
2596,Nissin,Demae Ramen Straight Noodle Salt Chicken Flavour Instant Noodle,Pack,Hong Kong,4.75
2595,TableMark,Cantonese Shouyu Ramen,Bowl,Japan,4.5
2594,Samyang Foods,Yulmu Bibimmyun,Pack,South Korea,4.75
2593,Indomie,Onion Chicken Flavor (Soup Version),Pack,Nigeria,3.25
2592,Maruchan,Yokozuna Tonkotsu Ramen,Bowl,Japan,5
2591,Myojo,Charumera Licca Chan Onion Gratin Soup Noodle,Cup,Japan,4.25
2590,JML,Bone Soup (Spare Ribs Flavour) Noodle,Pack,China,3.25
2589,Nongshim,Mr. Bibim Korean Spicy Chicken Flavor,Pack,South Korea,4
2588,Sau Tao,Ho Fan Tomato Soup Flavored,Pack,Hong Kong,2.5
2587,Sunfeast,Yippee! Noodles Magic Masala,Pack,India,4.25
2586,Blount,Chicken Ramen Bowl,Bowl,United States,5
2585,Blount,Thai Inspired Coconut Chicken & Noodle Bowl,Bowl,United States,5
2584,MyKuali,Penang White Curry Rice Vermicelli Soup,Bowl,Malaysia,4.75
2583,Daikoku,Kaisen (seafood) Shio Noodles,Cup,Japan,5
2582,Acecook,Super Cup Shoyu Butter Corn Ramen,Bowl,Japan,4.25
2581,Samyang Foods,Curry Buldak Bokkeummyun,Bowl,South Korea,2
2580,New Touch,T's Restaurant Tantanmen,Cup,Japan,3.75
2579,Just Way,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Pack,Taiwan,1
2578,Nissin,Cup Noodles Chicken Vegetable,Cup,United States,2.25
2577,Wei Lih,GGE Ramen Snack Tomato Flavor,Pack,Taiwan,2.75
2576,Ching's Secret,Singapore Curry,Pack,India,3.75
2575,Samyang Foods,Kimchi song Song Ramen,Pack,South Korea,4.75
2574,Acecook,Spice Deli Tantan Men With Cilantro,Cup,Japan,4
2573,Ikeda Shoku,Nabeyaki Kitsune Udon,Tray,Japan,3.75
2572,Ripe'n'Dry,Hokkaido Soy Sauce Ramen,Pack,Japan,0.25
2571,KOKA,The Original Spicy Stir-Fried Noodles,Pack,Singapore,2.5
2570,Tao Kae Noi,Creamy tom Yum Kung Flavour,Pack,Thailand,5
2569,Yamachan,Yokohama Tonkotsu Shoyu,Pack,United States,
